symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue,endpoint
AAPL,2025-09-27,255.46,14948500000,3818743810000,35934000000,112377000000,3895186810000,enterprise-values
AAPL,2024-09-28,227.79,15343783000,3495160329570,29943000000,119059000000,3584276329570,enterprise-values
AAPL,2023-09-30,171.21,15744231000,2695569789510,29965000000,123930000000,2789534789510,enterprise-values
AAPL,2022-09-24,150.43,16215963000,2439367314090,23646000000,132480000000,2548201314090,enterprise-values
AAPL,2021-09-25,146.92,16701272000,2453750882240,34940000000,136522000000,2555332882240,enterprise-values
MSFT,2025-06-30,497.41,7433000000,3697248530000,30242000000,112184000000,3779190530000,enterprise-values
MSFT,2024-06-30,456.73,7431000000,3393960630000,18315000000,97852000000,3473497630000,enterprise-values
MSFT,2023-06-30,340.54,7446000000,2535660840000,34704000000,79441000000,2580397840000,enterprise-values
MSFT,2022-06-30,256.83,7496000000,1925197680000,13931000000,78400000000,1989666680000,enterprise-values
MSFT,2021-06-30,270.9,7547000000,2044482299999,14224000000,82278000000,2112536299999,enterprise-values
GOOGL,2025-12-31,313.0,12116000000,3792308000000,30708000000,59291000000,3820891000000,enterprise-values
GOOGL,2024-12-31,189.3,12319000000,2331986700000,23466000000,25461000000,2333981700000,enterprise-values
GOOGL,2023-12-31,139.69,12630000000,1764284700000,24048000000,27121000000,1767357700000,enterprise-values
GOOGL,2022-12-31,88.23,13063000000,1152548490000,21879000000,29679000000,1160348490000,enterprise-values
GOOGL,2021-12-31,144.85,13353000000,1934182050000,20945000000,28395000000,1941632050000,enterprise-values
AMZN,2025-12-31,230.82,10656000000,2459617920000,86810000000,152987000000,2525794920000,enterprise-values
AMZN,2024-12-31,219.39,10473000000,2297671470000,78779000000,130900000000,2349792470000,enterprise-values
AMZN,2023-12-31,151.94,10304000000,1565589760000,73387000000,135611000000,1627813760000,enterprise-values
AMZN,2022-12-31,84.0,10189000000,855876000000,53888000000,140118000000,942106000000,enterprise-values
AMZN,2021-12-31,166.72,10120000000,1687206400000,36220000000,116395000000,1767381400000,enterprise-values
META,2025-12-31,660.09,2521000000,1664086890000,35873000000,83897000000,1712110890000,enterprise-values
META,2024-12-31,585.51,2534000000,1483682340000,43889000000,49060000000,1488853340000,enterprise-values
META,2023-12-31,353.96,2574000000,911093040000,41862000000,37234000000,906465040000,enterprise-values
META,2022-12-31,120.34,2687000000,323353580000,14681000000,26591000000,335263580000,enterprise-values
META,2021-12-31,336.35,2815000000,946825250000,16601000000,13873000000,944097250000,enterprise-values
NVDA,2026-01-25,186.47,24359000000,4542222730000,10605000000,11412000000,4543029730000,enterprise-values
NVDA,2025-01-26,118.42,24555000000,2907803100000,8589000000,10270000000,2909484100000,enterprise-values
NVDA,2024-01-28,62.47,24690000000,1542384300000,7280000000,11056000000,1546160300000,enterprise-values
NVDA,2023-01-29,19.16,24870000000,476509200000,3389000000,12031000000,485151200000,enterprise-values
NVDA,2022-01-30,24.49,24960000000,611270400000,1990000000,11831000000,621111400000,enterprise-values
TSLA,2025-12-31,449.72,3225000000,1450347000000,16513000000,8376000000,1442210000000,enterprise-values
TSLA,2024-12-31,403.84,3197000000,1291076480000,16139000000,13623000000,1288560480000,enterprise-values
TSLA,2023-12-31,248.48,3173500000,788551280000,16398000000,9573000000,781726280000,enterprise-values
TSLA,2022-12-31,123.18,3130000000,385553400000,16253000000,5748000000,375048400000,enterprise-values
TSLA,2021-12-31,352.26,2959000000,1042337340000,17576000000,8873000000,1033634340000,enterprise-values
NFLX,2025-12-31,93.76,4229221000,396531760960,9033681000,14462836000,401960915960,enterprise-values
NFLX,2024-12-31,89.13,4295190000,382830284700,7804733000,17994974000,393020525700,enterprise-values
NFLX,2023-12-31,48.69,4415710000,215000919900,7116913000,16973374000,224857380900,enterprise-values
NFLX,2022-12-31,29.49,4446980000,131141440200,5147176000,14353076000,140347340200,enterprise-values
NFLX,2021-12-31,60.24,4431550000,266956572000,6027804000,18116570000,279045338000,enterprise-values
AMD,2025-12-27,214.99,1624000000,349143760000,5539000000,4472000000,348076760000,enterprise-values
AMD,2024-12-28,125.19,1620000000,202807800000,3787000000,2212000000,201232800000,enterprise-values
AMD,2023-12-30,147.41,1614000000,237919740000,3933000000,3003000000,236989740000,enterprise-values
AMD,2022-12-31,64.77,1561000000,101105970000,4835000000,2863000000,99133970000,enterprise-values
AMD,2021-12-25,146.14,1213000000,177267819999,2535000000,661000000,175393819999,enterprise-values
INTC,2025-12-27,36.2,4856000000,175787200000,14265000000,46585000000,208107200000,enterprise-values
INTC,2024-12-28,20.3,4280000000,86884000000,8249000000,50011000000,128646000000,enterprise-values
INTC,2023-12-30,50.25,4190000000,210547500000,7079000000,49278000000,252746500000,enterprise-values
INTC,2022-12-31,26.43,4108000000,108574440000,11144000000,42051000000,139481440000,enterprise-values
INTC,2021-12-25,51.31,4059000000,208267290000,4827000000,38101000000,241541290000,enterprise-values
JPM,2025-12-31,322.22,2788700000,898574914000,343338000000,942378000000,1497614914000,enterprise-values
JPM,2024-12-31,239.71,2873900000,688902569000,469317000000,751146000000,970731569000,enterprise-values
JPM,2023-12-31,170.1,2938600000,499855860000,624151000000,653072000000,528776860000,enterprise-values
JPM,2022-12-31,134.1,2965800000,397713780000,567234000000,542505000000,372984780000,enterprise-values
JPM,2021-12-31,158.35,3021500000,478454525000,740834000000,548939000000,286559525000,enterprise-values
V,2025-09-30,341.38,1942000000,662959960000,20154000000,25171000000,667976960000,enterprise-values
V,2024-09-30,274.95,1997000000,549075150000,11975000000,20836000000,557936150000,enterprise-values
V,2023-09-30,230.01,2085000000,479570850000,16286000000,20463000000,483747850000,enterprise-values
V,2022-09-30,177.65,2136000000,379460400000,15689000000,22450000000,386221400000,enterprise-values
V,2021-09-30,222.75,2130301000,474524547750,16487000000,20977000000,479014547750,enterprise-values
COST,2025-08-31,943.32,443985000,418819930200,14161000000,8173000000,412831930200,enterprise-values
COST,2024-09-01,892.38,443914000,396139975320,9906000000,8272000000,394505975320,enterprise-values
COST,2023-09-03,544.25,443854000,241567539500,13700000000,8884000000,236751539500,enterprise-values
COST,2022-08-28,531.06,443651000,235605300059,10203000000,9039000000,234441300059,enterprise-values
COST,2021-08-29,455.93,443089000,202017567770,11258000000,10133000000,200892567770,enterprise-values
WMT,2026-01-31,119.14,7983000000,951094620000,10727000000,67095000000,1007462620000,enterprise-values
WMT,2025-01-31,98.16,8041000000,789304560000,9037000000,60114000000,840381560000,enterprise-values
WMT,2024-01-31,55.08,8077008000,444881600640,9867000000,61321000000,496335600640,enterprise-values
WMT,2023-01-31,47.96,8172000000,391929120000,8625000000,58923000000,442227120000,enterprise-values
WMT,2022-01-31,46.6,8376000000,390321600000,14760000000,57323000000,432884600000,enterprise-values
